Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,SPID,GOID,GO_id,term,GOSlim_bin,aspect
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0000209,GO:0000209,protein polyubiquitination,protein metabolism,P
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0004842,GO:0004842,ubiquitin-protein ligase activity,other molecular function,F
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0005515,GO:0005515,protein binding,other molecular function,F
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0005521,GO:0005521,lamin binding,other molecular function,F
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0005634,GO:0005634,nucleus,nucleus,C
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0005652,GO:0005652,nuclear lamina,nucleus,C
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0005652,GO:0005652,nuclear lamina,other membranes,C
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0005694,GO:0005694,chromosome,other cellular component,C
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0005700,GO:0005700,polytene chromosome,other cellular component,C
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0006351,GO:0006351,"""transcription, DNA-dependent""",RNA metabolism,P
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0006355,GO:0006355,"""regulation of transcription, DNA-dependent""",RNA metabolism,P
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0006997,GO:0006997,nucleus organization,cell organization and biogenesis,P
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0007095,GO:0007095,mitotic cell cycle G2/M transition DNA damage checkpoint,cell cycle and proliferation,P
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0007095,GO:0007095,mitotic cell cycle G2/M transition DNA damage checkpoint,signal transduction,P
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0007095,GO:0007095,mitotic cell cycle G2/M transition DNA damage checkpoint,stress response,P
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0008270,GO:0008270,zinc ion binding,other molecular function,F
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0016568,GO:0016568,chromatin modification,cell organization and biogenesis,P
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0016874,GO:0016874,ligase activity,other molecular function,F
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0042787,GO:0042787,protein ubiquitination during ubiquitin-dependent protein catabolic process,protein metabolism,P
comp10_c0_seq1,sp,Q9V8P9,TOPRS_DROME,55.81,86,35,1,1,258,91,173,3.00E-28,113,Q9V8P9,GO:0046872,GO:0046872,metal ion binding,other molecular function,F
